// sample: {time(ms),pitch(deg),pitch_spd(rad/s),yaw(deg),yaw_spd(rad/s)},
{
{852, 0.0f, 0.0f, -2.207400f, 1.334973f},
{854, 0.0f, 0.0f, -2.054197f, 1.338875f},
{856, 0.0f, 0.0f, -1.900566f, 1.342432f},
{858, 0.0f, 0.0f, -1.746547f, 1.345642f},
{860, 0.0f, 0.0f, -1.592181f, 1.348503f},
{862, 0.0f, 0.0f, -1.437507f, 1.351013f},
{864, 0.0f, 0.0f, -1.282565f, 1.353171f},
{866, 0.0f, 0.0f, -1.127396f, 1.354975f},
{868, 0.0f, 0.0f, -0.972041f, 1.356424f},
{870, 0.0f, 0.0f, -0.816541f, 1.357517f},
{872, 0.0f, 0.0f, -0.660935f, 1.358253f},
{874, 0.0f, 0.0f, -0.505266f, 1.358633f},
{876, 0.0f, 0.0f, -0.349573f, 1.358655f},
{878, 0.0f, 0.0f, -0.193899f, 1.358320f},
{880, 0.0f, 0.0f, -0.038283f, 1.357628f},
{882, 0.0f, 0.0f, 0.117233f, 1.356580f},
{884, 0.0f, 0.0f, 0.272609f, 1.355175f},
{886, 0.0f, 0.0f, 0.427803f, 1.353416f},
{888, 0.0f, 0.0f, 0.582775f, 1.351302f},
{890, 0.0f, 0.0f, 0.737485f, 1.348836f},
{892, 0.0f, 0.0f, 0.891892f, 1.346019f},
{894, 0.0f, 0.0f, 1.045956f, 1.342852f},
{896, 0.0f, 0.0f, 1.199638f, 1.339338f},
{898, 0.0f, 0.0f, 1.352897f, 1.335480f},
{900, 0.0f, 0.0f, 1.505694f, 1.331278f},
{902, 0.0f, 0.0f, 1.657990f, 1.326737f},
{904, 0.0f, 0.0f, 1.809747f, 1.321859f},
{906, 0.0f, 0.0f, 1.960925f, 1.316646f},
